[RUN #0 5 200]
-569 13 -572 11 -842
-358 -730 -804 818 -651
809 -410 268 -236 -470
413 -569 -464 434 -398
775 431 -701 664 939
918 -864 -887 -643 -765
-84 511 -621 -284 200
514 242 -69 -616 722
66 682 651 -612 -116
-586 -414 -364 -553 939
540 430 -74 247 679
-414 498 581 728 -381
374 414 147 616 324
-495 825 -506 -248 467
-523 -583 934 469 -832
913 -312 -849 -561 824
-584 -942 929 418 162
-938 445 521 -958 -652
996 -241 959 -433 364
-680 762 26 -322 -94
468 239 -981 -143 -120
-646 -459 -480 657 199
-461 -48 -709 509 -434
-969 -852 913 -716 67
894 -929 -872 746 680
-808 56 -181 -618 840
147 -820 956 -463 425
-895 -235 -429 892 151
483 -347 -513 -362 554
962 -703 -599 638 -191
702 78 -839 -480 730
-832 723 -901 359 -998
-331 730 -92 177 108
-106 -993 -448 346 -794
830 -236 -144 -615 705
370 -366 -776 -577 51
-96 -417 -143 743 -175
344 -925 400 617 876
908 300 630 542 -355
-423 883 -157 -928 657
-290 -367 568 354 793
-104 -174 270 2 686
849 -510 -853 330 -450
791 931 -513 -269 655
864 -378 -522 -188 -104
-924 763 -779 -864 -660
-772 550 -118 889 -629
599 -626 156 -792 451
244 633 -892 944 -963
994 -953 695 677 587
-565 132 355 360 37
577 760 594 93 -323
617 -217 492 773 886
-838 425 -364 -645 269
96 625 -928 651 -672
742 251 155 -233 -880
127 515 -339 -637 573
946 426 -664 -93 847
-446 -63 -489 830 -294
417 -680 -955 -748 9
-925 -427 799 -854 848
-790 200 -77 935 700
494 -472 -220 164 -522
-915 -696 -697 -844 -87
75 71 -107 47 -416
-239 -83 -229 794 -389
-881 685 495 -694 -296
-127 809 -889 -831 630
-571 -110 -874 386 -795
141 -186 394 -860 534
-647 292 485 575 -15
-198 677 -626 770 7
234 231 -693 -582 922
-246 901 -696 -810 -133
942 409 -484 -564 748
-450 -849 -919 -756 100
-768 -70 688 -816 -895
579 -933 -474 -486 -306
-855 -30 508 854 -513
-899 846 -185 -558 -754
-420 -599 -113 28 -268
-814 173 -951 -268 9
382 -249 -706 -538 698
156 607 -389 -828 -949
113 -135 -77 514 337
-672 478 3 742 923
654 -506 -806 -167 -559
-465 189 454 -9 -619
693 -152 -786 -100 320
-602 -549 879 -460 873
-639 -741 -449 -752 96
-193 666 324 453 -615
479 -649 828 280 666
143 241 576 836 841
-466 -214 -439 848 292
787 -986 3 -717 308
-357 -567 -279 -265 291
-357 -915 -707 644 -595
-193 447 82 -410 -998
679 516 -618 -68 436
518 435 499 535 -839
-931 207 -379 273 28
902 820 -631 -428 919
-225 707 747 35 -148
-478 -237 918 797 62
